web-scraper-order,web-scraper-start-url,Nombre,Rating
"1616529596-61","https://www.rappi.com.mx/restaurantes/category/pizza","Jalapenos Pizza","null"
"1616529596-57","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.4"
"1616529596-71","https://www.rappi.com.mx/restaurantes/category/pizza","Smileys Wings Pizza","null"
"1616529596-66","https://www.rappi.com.mx/restaurantes/category/pizza","Jalapeno S Pizza Geovillas","null"
"1616529596-58","https://www.rappi.com.mx/restaurantes/category/pizza","Bastard","null"
"1616529596-64","https://www.rappi.com.mx/restaurantes/category/pizza","Mc Pepper S Pizza","null"
"1616529596-70","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Cheve","null"
"1616529596-67","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","null"
"1616529596-55","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.8"
"1616529596-69","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Love","null"
"1616529596-59","https://www.rappi.com.mx/restaurantes/category/pizza","Las Gordibuenas Qro","4.6"
"1616529596-68","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino´s Pizza","null"
"1616529596-65","https://www.rappi.com.mx/restaurantes/category/pizza","La Pizza de Don Cangrejo","null"
"1616529596-56","https://www.rappi.com.mx/restaurantes/category/pizza","Smiley´s Pizza Suc Peñaflor","null"
"1616529596-63","https://www.rappi.com.mx/restaurantes/category/pizza","Toreto's Pizza","4.6"
"1616529596-60","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.8"
"1616529596-62","https://www.rappi.com.mx/restaurantes/category/pizza","Bastard Pizzas Burgers N Shakes","null"
