web-scraper-order,web-scraper-start-url,name,rating
"1616528051-42","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Rotonda","null"
"1616528051-43","https://www.rappi.com.mx/restaurantes/category/pizza","Patricio´s","null"
"1616528051-46","https://www.rappi.com.mx/restaurantes/category/pizza","Nápoles Artesanal Pizzería","null"
"1616528051-50","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null"
"1616528051-48","https://www.rappi.com.mx/restaurantes/category/pizza","Emporio Pizza","null"
"1616528051-40","https://www.rappi.com.mx/restaurantes/category/pizza","Il Pizzaiolo Qro","4.2"
"1616528051-51","https://www.rappi.com.mx/restaurantes/category/pizza","Estacion 19","null"
"1616528051-44","https://www.rappi.com.mx/restaurantes/category/pizza","Beppe Pizzas","null"
"1616528051-38","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.8"
"1616528051-41","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","4.5"
"1616528051-47","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null"
"1616528051-52","https://www.rappi.com.mx/restaurantes/category/pizza","TOSCANO PIZZA & ESPRESSOS","null"
"1616528051-45","https://www.rappi.com.mx/restaurantes/category/pizza","La Piazza Qro","null"
"1616528051-36","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","4.8"
"1616528051-37","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelita´S Pizza","4.7"
"1616528051-49","https://www.rappi.com.mx/restaurantes/category/pizza","Martinica","null"
"1616528051-39","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Pop","null"
